課號 Course ID,資訊 Information,備註 Note,系所 Department,通識 GE,"選上機率
Chance","重設
Reset",課程 Course,教室大樓 Building,時間 Time,授課語言 Language,加簽 Extra Enrollment
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL3424"" rel=""noopener"" target=""_blank"">FL 342400</a>
中級德語會話一
Intermediate German Conversation I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
11 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=388672967838639726578806973876978"" rel=""noopener"" target=""_blank"">韓珮雯	HAN, PEI-WEN</a>
<教室 Room & 時間 Time>
HSS人社C511	T7T8T9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL3424,HSS人社,T7T8T9,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL3431"" rel=""noopener"" target=""_blank"">FL 343100</a>
日語聽解三
Japanese Listening III","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
19 / --
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=21608385972961867727985896576737871"" rel=""noopener"" target=""_blank"">周雅玲	CHOU, YA-LING</a>
<教室 Room & 時間 Time>
HSS人社C512	RnR5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 中級日語二-成績需C-以上高級日語二-成績需C-以上高級日語一-成績需C-以上日語聽解二-成績需C-以上曾修日本語能力試驗N4級通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL3431,HSS人社,RnR5,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL3434"" rel=""noopener"" target=""_blank"">FL 343400</a>
日語會話三
Japanese Conversation III","<人限 Limit / 新生保留 New Only>
28 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
11 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=3049527494342247565798285776584657569"" rel=""noopener"" target=""_blank"">真武薰	KAORU MATAKE</a>
<教室 Room & 時間 Time>
HSS人社C522	F5F6F7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
日語授課
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 中級日語二-成績需C-以上高級日語二-成績需C-以上高級日語一-成績需C-以上日語會話二-成績需C-以上曾修日本語能力試驗N4級通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
外語系109B選修
",FL   外語系,--,--,,FL3434,HSS人社,F5F6F7,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL3445"" rel=""noopener"" target=""_blank"">FL 344500</a>
從《哈利波特》學英文
English Language Skills with Harry Potter","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
7 / --
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=2660723433230687479726578786575658467726978"" rel=""noopener"" target=""_blank"">柯安娜	JOHANNA KATCHEN</a>
<教室 Room & 時間 Time>
HSS人社C406	M5M6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
107學年度起入學生欲視為選讀英文而非通識可於畢審作業時另行主張
<限制 Limitation>
外語系優先，第3次選課起開放全校修習
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
外語系109B選修
",FL   外語系,人文 Humanities,--,,FL3445,HSS人社,M5M6,英文 EN,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL3501"" rel=""noopener"" target=""_blank"">FL 350100</a>
魯濱遜漂流記：全球脈絡下的多重文本
Robinson Crusoe: A Multilayered Text in Global Contexts","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
19 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=32000208032599167727389856578876978"" rel=""noopener"" target=""_blank"">紀元文	CHI, YUAN-WEN</a>
<教室 Room & 時間 Time>
HSS人社C413	F2F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
107學年度起入學生欲視為選讀英文而非通識可於畢審作業時另行主張,【108(含)前入學生視為核心向度三】
<限制 Limitation>
外語系優先，第3次選課起開放全校修習
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
外語系110B選修
",FL   外語系,核通 GEC 3,--,,FL3501,HSS人社,F2F3F4,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4025"" rel=""noopener"" target=""_blank"">FL 402500</a>
高級韓語一
Advanced Korean I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
19 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=3886720140248107265787589857871688575"" rel=""noopener"" target=""_blank"">韓京惪	HAN KYUNG DUK</a>
<教室 Room & 時間 Time>
HSS人社C413	WnW5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
韓語授課，跨校選課與交換生加簽，必須在第1堂課上課前與老師商量
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4025,HSS人社,WnW5W6,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4039"" rel=""noopener"" target=""_blank"">FL 403900</a>
高級法語一
Advanced French I","<人限 Limit / 新生保留 New Only>
28 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
17 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=242782154728500767365797265786772736972"" rel=""noopener"" target=""_blank"">廖含潔	LIAO, HAN-CHIEH</a>
<教室 Room & 時間 Time>
HSS人社C521	WnW5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 曾修CEFR A2通過中級法語二-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4039,HSS人社,WnW5W6,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4044"" rel=""noopener"" target=""_blank"">FL 404400</a>
中級西班牙語一
Intermediate Spanish I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
23 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=243733859737428677265787189696576737871"" rel=""noopener"" target=""_blank"">張雅鈴	CHANG, YEA-LING</a>
<教室 Room & 時間 Time>
HSS人社C406	R7R8R9
","<加簽 Extra Enrollment>
X 不接受 Not Allowed
<備註 Memo>
--
<限制 Limitation>
限外語系
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 初級西班牙語二-成績需C-以上曾修CEFR A1通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
外語系109B必修
",FL   外語系,--,--,,FL4044,HSS人社,R7R8R9,中文 ZH,X 不接受 Not Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4044"" rel=""noopener"" target=""_blank"">FL 404401</a>
中級西班牙語一
Intermediate Spanish I","<人限 Limit / 新生保留 New Only>
42 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
20 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=243733859737428677265787189696576737871"" rel=""noopener"" target=""_blank"">張雅鈴	CHANG, YEA-LING</a>
<教室 Room & 時間 Time>
HSS人社C412	MnM5M6
","<加簽 Extra Enrollment>
X 不接受 Not Allowed
<備註 Memo>
--
<限制 Limitation>
排除外語系
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 初級西班牙語二-成績需C-以上曾修CEFR A1通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4044,HSS人社,MnM5M6,中文 ZH,X 不接受 Not Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4047"" rel=""noopener"" target=""_blank"">FL 404701</a>
高級日語一
Advanced Japanese I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
10 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=3049527494342247565798285776584657569"" rel=""noopener"" target=""_blank"">真武薰	KAORU MATAKE</a>
<教室 Room & 時間 Time>
HSS人社C407	M5M6M7
","<加簽 Extra Enrollment>
X 不接受 Not Allowed
<備註 Memo>
日語授課
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 曾修日本語能力試驗N4級通過中級日語二-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
外語系108B選修
",FL   外語系,--,--,,FL4047,HSS人社,M5M6M7,中文 ZH,X 不接受 Not Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4047"" rel=""noopener"" target=""_blank"">FL 404702</a>
高級日語一
Advanced Japanese I","<人限 Limit / 新生保留 New Only>
42 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
3 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=243733740631481677265787167728578677285"" rel=""noopener"" target=""_blank"">張鈞竹	CHANG,CHUN-CHU</a>
<教室 Room & 時間 Time>
HSS人社C512	T2T3T4
","<加簽 Extra Enrollment>
X 不接受 Not Allowed
<備註 Memo>
未接受旁聽,考量順利銜接,未能即時選課成功者 <加退選期間> 可參與課堂;欲正式修課者務必第1週開始參與課程
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 曾修日本語能力試驗N4級通過中級日語二-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4047,HSS人社,T2T3T4,中文 ZH,X 不接受 Not Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4047"" rel=""noopener"" target=""_blank"">FL 404703</a>
高級日語一
Advanced Japanese I","<人限 Limit / 新生保留 New Only>
42 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
1 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=342762011724247233767085747373896583857579"" rel=""noopener"" target=""_blank"">藤井康子	FUJII YASUKO</a>
<教室 Room & 時間 Time>
HSS人社C406	W5W6W7
","<加簽 Extra Enrollment>
X 不接受 Not Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 曾修日本語能力試驗N4級通過中級日語二-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4047,HSS人社,W5W6W7,中文 ZH,X 不接受 Not Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4049"" rel=""noopener"" target=""_blank"">FL 404900</a>
日語閱讀一
Japanese Reading I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
15 / --
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=21608385972961867727985896576737871"" rel=""noopener"" target=""_blank"">周雅玲	CHOU, YA-LING</a>
<教室 Room & 時間 Time>
HSS人社C512	R6R7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 中級日語二-成績需C-以上高級日語二-成績需C-以上高級日語一-成績需C-以上曾修日本語能力試驗N4級通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4049,HSS人社,R6R7,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4051"" rel=""noopener"" target=""_blank"">FL 405100</a>
日語寫作一
Japanese writing 1","<人限 Limit / 新生保留 New Only>
20 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / --
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=342762011724247233767085747373896583857579"" rel=""noopener"" target=""_blank"">藤井康子	FUJII YASUKO</a>
<教室 Room & 時間 Time>
HSS人社C521	W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 中級日語二-成績需C-以上高級日語二-成績需C-以上高級日語一-成績需C-以上曾修日本語能力試驗N4級通過上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4051,HSS人社,W3W4,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4054"" rel=""noopener"" target=""_blank"">FL 405400</a>
中級西班牙語會話一
Intermediate Spanish Conversation I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
20 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=371653864233521677269787189857889737871"" rel=""noopener"" target=""_blank"">鄭雲英	CHENG, YUN-YING</a>
<教室 Room & 時間 Time>
HSS人社C511	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4054,HSS人社,M2M3M4,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=FL4071"" rel=""noopener"" target=""_blank"">FL 407100</a>
高級德語一
Advanced German I","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
22 / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=371012614938263758579677285786772657871"" rel=""noopener"" target=""_blank"">郭春長	KUO, CHUN-CHANG</a>
<教室 Room & 時間 Time>
HSS人社B304	R3R4Rn
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 曾修CEFR A2通過中級德語二-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
--
",FL   外語系,--,--,,FL4071,HSS人社,R3R4Rn,中文 ZH,O 接受 Allowed
